INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
1.1.4.1.8.0	375	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
														
1.1.4.1.8.0.0	376	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
														
1.1.4.1.8.0.0.0	377	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
														
1.1.4.1.8.0.0.0.0	65041	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
														
1.1.4.1.8.0.0.0.0.0	65042	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
1.1.4.1.8.0.0.0.0.0.0001	132043	OUTROS	CREDITOS	A	RECEBER(CORRET)	571,66	72,86	-308,43	-235,57	336,09				
1.1.4.1.8.0.0.0.0.0.0004	132070	OUTROS	CREDITOS	A	RECEBER	32.576,86	4.187,79	-1.043,76	3.144,03	35.720,89				
1.1.4.1.8.0.0.0.0.0.0042	104206	INVESTPREV	SEGUROS	E	PREVIDENCIA	(RS)	38.288,59	1.698,92	-1.839,06	-140,14	38.148,45			
1.1.4.1.8.0.0.0.0.0.0046	114046	IRB	E	OUTROS	RESSEGURADORES	74.533,30	0	0	0	74.533,30				
1.1.4.1.8.0.0.0.0.0.0052	2	INVEST	CAPITALIZAÇÃO	S.A.	59.149,19	19.836,27	-56.957,77	-37.121,50	22.027,69					
1.1.4.1.8.0.0.0.0.0.0055	217	JOÃO	ANTONIO	BATALHA	-	PAGTO	SIN	DUPLIC	29,5	0	0	0	29,5	
1.1.4.1.8.0.0.0.0.0.0059	355	RESTIT	E	DEVOLUCOES	PAGAS	EM	DUPLICIDADE	2.094,52	0	0	0	2.094,52		
1.1.4.1.8.0.0.0.0.0.0060	370	SINISTROS	PAGOS	EM	DUPLICIDADE	7.239,13	0	0	0	7.239,13				
1.1.4.1.8.0.0.0.0.0.0061	373	HQ	BR	ADM	BENS	E	SERV-CAUCAO	SALVADOR/BA	598	0	0	0	598	
1.1.4.1.8.0.0.0.0.0.0062	374	A	BARROS	JORGE	JOAO	-	CAUÇÃO	BELEM/PA	900	0	0	0	900	
1.1.4.1.8.0.0.0.0.0.0063	380	FRANCIZALVA	F	BRAGA-CAUÇÃO	FORTALEZA	6.600,00	0	0	0	6.600,00				
1.1.4.1.8.0.0.0.0.0.0071	747	RUSSOWSKY,	WINTER	E	GUAZELLI	PERUCHIN	-	943,48	0	0	0	943,48		
														
1.1.4.2	126375	TITULOS	A	RECEBER	1.172.788,50	35.870,73	-48.097,34	-12.226,61	1.160.561,89					
1.1.4.2.2	126393	NOTAS	PROMISSORIAS	1.172.788,50	35.870,73	-48.097,34	-12.226,61	1.160.561,89						
														
1.1.4.4	100850	CREDITOS	TRIBUTARIOS/PREVIDENCIARIOS	291.131,81	255.104,09	-850	254.254,09	545.385,90						
														
1.1.4.4.1	100869	CREDITOS	DE	IMPOSTO	DE	RENDA	197.241,92	160.421,54	-850	159.571,54	356.813,46			
														
1.1.4.4.1.1	111777	IMPOSTO	DE	RENDA	A	COMPENSAR	197.241,92	33,7	-850	-816,3	196.425,62			
														
1.1.4.4.1.1.0	411	IMPOSTO	DE	RENDA	A	COMPENSAR	197.241,92	33,7	-850	-816,3	196.425,62			
														
1.1.4.4.1.1.0.0	412	IMPOSTO	DE	RENDA	A	COMPENSAR	197.241,92	33,7	-850	-816,3	196.425,62			
														
1.1.4.4.1.1.0.0.0	65045	IMPOSTO	DE	RENDA	A	COMPENSAR	197.241,92	33,7	-850	-816,3	196.425,62			
														
1.1.4.4.1.1.0.0.0.0	65046	IMPOSTO	DE	RENDA	A	COMPENSAR	197.241,92	33,7	-850	-816,3	196.425,62			
1.1.4.4.1.1.0.0.0.0.0001	124674	IMPOSTO	DE	RENDA	NA	FONTE	#NOME?	A	MAIOR	517,3	33,54	0	33,54	550,84
1.1.4.4.1.1.0.0.0.0.0012	135	IRPJ	PAGO	A	MAIOR	22,89	0	0	0	22,89				
1.1.4.4.1.1.0.0.0.0.0013	192	IMPOSTO	DE	RENDA	RETIDO	NA	FONTE	15.181,10	0,16	-0,08	0,08	15.181,18		
1.1.4.4.1.1.0.0.0.0.0016	597	SALDO	NEGATIVO	IRPJ	2017	209,47	0	-209,47	-209,47	0				
1.1.4.4.1.1.0.0.0.0.0017	707	SALDO	NEGATIVO	IRPJ	2018	640,45	0	-640,45	-640,45	0				
1.1.4.4.1.1.0.0.0.0.0018	114412	SALDO	NEGATIVO	IRPJ	2019	180.670,71	0	0	0	180.670,71				
														
1.1.4.4.1.2	120861	ANTECIPACAO	DE	IMPOSTO	DE	RENDA	0	160.387,84	0	160.387,84	160.387,84			
														
1.1.4.4.1.2.0	122403	ANTECIPACAO	DE	IMPOSTO	DE	RENDA	0	160.387,84	0	160.387,84	160.387,84			
														
1.1.4.4.1.2.0.0	122404	ANTECIPACAO	DE	IMPOSTO	DE	RENDA	0	160.387,84	0	160.387,84	160.387,84			
														
1.1.4.4.1.2.0.0.0	65047	ANTECIPACAO	DE	IMPOSTO	DE	RENDA	0	160.387,84	0	160.387,84	160.387,84			
														
1.1.4.4.1.2.0.0.0.0	65048	ANTECIPACAO	DE	IMPOSTO	DE	RENDA	0	160.387,84	0	160.387,84	160.387,84			
1.1.4.4.1.2.0.0.0.0.0001	211660	ANTECIPACAO	DE	IRPJ	0	160.387,84	0	160.387,84	160.387,84					
														
1.1.4.4.2	100878	CREDITOS	DE	CONTRIBUICAO	SOCIAL	86.459,59	94.578,59	0	94.578,59	181.038,18				
														
1.1.4.4.2.1	124700	CONTRIBUICAO	SOCIAL	A	COMPENSAR	86.459,59	0	0	0	86.459,59				
														
1.1.4.4.2.1.0	431	CONTRIBUICAO	SOCIAL	A	COMPENSAR	86.459,59	0	0	0	86.459,59				
														
1.1.4.4.2.1.0.0	432	CONTRIBUICAO	SOCIAL	A	COMPENSAR	86.459,59	0	0	0	86.459,59				
														
1.1.4.4.2.1.0.0.0	65053	CONTRIBUICAO	SOCIAL	A	COMPENSAR	86.459,59	0	0	0	86.459,59				
														
1.1.4.4.2.1.0.0.0.0	65054	CONTRIBUICAO	SOCIAL	A	COMPENSAR	86.459,59	0	0	0	86.459,59				
1.1.4.4.2.1.0.0.0.0.0009	136	CSLL	PAGO	A	MAIOR	4,2	0	0	0	4,2				
1.1.4.4.2.1.0.0.0.0.0013	114409	SALDO	NEGATIVO	CSLL	2019	86.455,39	0	0	0	86.455,39				
														
1.1.4.4.2.2	120862	ANTECIPACAO	DE	CONTRIBUICAO	SOCIAL	0	94.578,59	0	94.578,59	94.578,59				
														
1.1.4.4.2.2.0	122405	ANTECIPACAO	DE	CONTRIBUICAO	SOCIAL	0	94.578,59	0	94.578,59	94.578,59				
														
1.1.4.4.2.2.0.0	122406	ANTECIPACAO	DE	CONTRIBUICAO	SOCIAL	0	94.578,59	0	94.578,59	94.578,59				
														
1.1.4.4.2.2.0.0.0	65055	ANTECIPACAO	DE	CONTRIBUICAO	SOCIAL	0	94.578,59	0	94.578,59	94.578,59				
														
1.1.4.4.2.2.0.0.0.0	65056	ANTECIPACAO	DE	CONTRIBUICAO	SOCIAL	0	94.578,59	0	94.578,59	94.578,59				
1.1.4.4.2.2.0.0.0.0.0001	211670	ANTECIPACAO	DE	CSLL	0	94.578,59	0	94.578,59	94.578,59					
														
1.1.4.4.5	132080	CREDITOS	DE	COFINS	E	PIS	145,51	0	0	0	145,51			
														
1.1.4.4.5.1	132099	COFINS	A	COMPENSAR	122,74	0	0	0	122,74					
														
1.1.4.4.5.1.0	449	COFINS	A	COMPENSAR	122,74	0	0	0	122,74					
														
1.1.4.4.5.1.0.0	450	COFINS	A	COMPENSAR	122,74	0	0	0	122,74					
														
1.1.4.4.5.1.0.0.0	65057	COFINS	A	COMPENSAR	122,74	0	0	0	122,74					
														
1.1.4.4.5.1.0.0.0.0	65058	COFINS	A	COMPENSAR	122,74	0	0	0	122,74					
1.1.4.4.5.1.0.0.0.0.0001	132124	COFINS	COMPENSAVEL	122,74	0	0	0	122,74						
														
1.1.4.4.5.3	126591	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
														
1.1.4.4.5.3.0	453	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
														
1.1.4.4.5.3.0.0	454	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
														
1.1.4.4.5.3.0.0.0	65059	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
														
1.1.4.4.5.3.0.0.0.0	65060	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
1.1.4.4.5.3.0.0.0.0.0002	135121	PIS	A	COMPENSAR	22,77	0	0	0	22,77					
														
1.1.4.4.8	135096	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
														
1.1.4.4.8.0	458	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
														
1.1.4.4.8.0.0	459	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
														
1.1.4.4.8.0.0.0	460	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
														
1.1.4.4.8.0.0.0.0	65061	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
														
1.1.4.4.8.0.0.0.0.0	65062	OUTROS	CRED	TRIBUT	E	PREVIDENCIARIOS	7.284,79	103,96	0	103,96	7.388,75			
1.1.4.4.8.0.0.0.0.0.0002	102858	PIS	COFINS	E	CS	RETIDOS	TERCEIROS	-10,77	103,96	0	103,96	93,19		
1.1.4.4.8.0.0.0.0.0.0007	352	IOF	RECOLHIDO	A	MAIOR	A	COMPENSAR	4.174,16	0	0	0	4.174,16		
1.1.4.4.8.0.0.0.0.0.0008	114482	INSS	A	COMPENSAR	3.121,40	0	0	0	3.121,40					
														
1.1.4.5	100896	ADIANTAMENTOS	A	FUNCIONARIOS	17.110,24	71.180,24	-34.137,24	37.043,00	54.153,24					
1.1.4.5.2	124764	FERIAS	10.515,77	62.579,20	-34.137,24	28.441,96	38.957,73							
1.1.4.5.3	135771	13	SALARIO	6.594,47	8.601,04	0	8.601,04	15.195,51						
														
1.1.4.6	111786	ADIANTAMENTOS	ADMINISTRATIVOS	78.318,08	182.422,09	-194.205,07	-11.782,98	66.535,10						
														
1.1.4.6.1	114502	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
														
1.1.4.6.1.0	475	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
														
1.1.4.6.1.0.0	476	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
														
1.1.4.6.1.0.0.0	477	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
														
1.1.4.6.1.0.0.0.0	65065	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
														
1.1.4.6.1.0.0.0.0.0	65066	ADIANTAMENTOS	PARA	VIAGENS	2.450,00	6.348,09	-6.348,09	0	2.450,00					
1.1.4.6.1.0.0.0.0.0.0001	102867	PESSOAL	2.450,00	6.348,09	-6.348,09	0	2.450,00							
														
1.1.4.6.2	114511	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
														
