DATA;NIVEL;TIPO;CONTA;REDUZIDO;DESCRICAO;ANTERIOR;DEBITOS;CREDITOS;MOVIMENTO;SALDO ATUAL
30/07/2020;24;Ativo;1.1.2.6.2.2.2.0.0.0.0001;669;AJUSTE AO VLR MERCADO - ARES FUND INVEST;3.423.553,84;62.734,32;0;62.734,32;3.486.288,16
30/07/2020;7;Ativo;1.1.2.8;125673;OUTRAS APLICACOES;562.201,82;1.849,90;-2.884,23;-1.034,33;561.167,49
30/07/2020;9;Ativo;1.1.2.8.2;125736;NAO VINCULADAS A COBERT DE RESERVAS;562.201,82;1.849,90;-2.884,23;-1.034,33;561.167,49
30/07/2020;11;Ativo;1.1.2.8.2.1;125745;RESSEGURAD RETEN REMUNER PROV SINIST;124.806,24;0;0;0;124.806,24
30/07/2020;11;Ativo;1.1.2.8.2.8;125763;OUTRAS APLICACOES;437.395,58;1.849,90;-2.884,23;-1.034,33;436.361,25
30/07/2020;13;Ativo;1.1.2.8.2.8.1;125772;VALOR ORIGINAL;437.395,58;1.849,90;-2.884,23;-1.034,33;436.361,25
30/07/2020;15;Ativo;1.1.2.8.2.8.1.0;281;VALOR ORIGINAL;437.395,58;1.849,90;-2.884,23;-1.034,33;436.361,25
30/07/2020;17;Ativo;1.1.2.8.2.8.1.0.0;282;VALOR ORIGINAL;437.395,58;1.849,90;-2.884,23;-1.034,33;436.361,25
30/07/2020;19;Ativo;1.1.2.8.2.8.1.0.0.0;283;VALOR ORIGINAL;437.395,58;1.849,90;-2.884,23;-1.034,33;436.361,25
30/07/2020;24;Ativo;1.1.2.8.2.8.1.0.0.0.0001;284;INVEST CAP-TITULOS CAP ALUGUEL PR;28.132,18;126,59;0;126,59;28.258,77
30/07/2020;24;Ativo;1.1.2.8.2.8.1.0.0.0.0002;687;INVEST CAP-TITULOS CAP ALUGUEL RS;238.798,84;1.074,59;0;1.074,59;239.873,43
30/07/2020;24;Ativo;1.1.2.8.2.8.1.0.0.0.0003;697;APLICAÇAO CEF CTA 2855-0;41.469,42;66,64;-1.370,74;-1.304,10;40.165,32
30/07/2020;24;Ativo;1.1.2.8.2.8.1.0.0.0.0004;706;INVEST CAP - TITULOS CAP ALUGUEL SP;128.975,37;582,08;-1.513,49;-931,41;128.043,96
30/07/2020;24;Ativo;1.1.2.8.2.8.1.0.0.0.0005;754;INVEST CAP - SEGMENTO PREMIADO;19,77;0;0;0;19,77
30/07/2020;5;Ativo;1.1.3;100354;CREDITOS DAS OPERACOES;28.070.214,94;20.934.967,92;-22.560.825,07;-1.625.857,15;26.444.357,79
30/07/2020;7;Ativo;1.1.3.1;100363;PREMIOS A RECEBER;25.499.792,58;15.903.226,55;-18.540.264,71;-2.637.038,16;22.862.754,42
30/07/2020;9;Ativo;1.1.3.1.1;100372;DIRETO;27.328.024,10;12.963.476,11;-15.392.584,09;-2.429.107,98;24.898.916,12
30/07/2020;11;Ativo;1.1.3.1.1.1;100381;PREMIOS RISCOS VIGENTES EMITIDOS;27.376.200,95;12.954.562,63;-15.385.943,49;-2.431.380,86;24.944.820,09
30/07/2020;11;Ativo;1.1.3.1.1.3;361;JUROS A APROPRIAR;-48.176,85;8.913,48;-6.640,60;2.272,88;-45.903,97
30/07/2020;9;Ativo;1.1.3.1.5;120816;PREMIOS - RISCOS VIGENTES NAO EMITIDOS;1.033.696,12;77.822,80;-55.472,67;22.350,13;1.056.046,25
30/07/2020;9;Ativo;1.1.3.1.9;120818;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;11;Ativo;1.1.3.1.9.0;49307;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;13;Ativo;1.1.3.1.9.0.0;49312;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;15;Ativo;1.1.3.1.9.0.0.0;49327;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;17;Ativo;1.1.3.1.9.0.0.0.0;65027;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;19;Ativo;1.1.3.1.9.0.0.0.0.0;65028;REDUCAO AO VALOR RECUPERAVEL;-2.861.927,64;2.861.927,64;-3.092.207,95;-230.280,31;-3.092.207,95
30/07/2020;24;Ativo;1.1.3.1.9.0.0.0.0.0.0002;591;RED VLR RECUP S/PREMIOS DIRETOS - DEDUT;-258.828,22;258.828,22;-538.977,43;-280.149,21;-538.977,43
30/07/2020;24;Ativo;1.1.3.1.9.0.0.0.0.0.0003;592;RED VLR RECUP S/PREMIOS DIRETOS -NÃO DED;-2.603.099,42;2.603.099,42;-2.553.230,52;49.868,90;-2.553.230,52
30/07/2020;7;Ativo;1.1.3.4;100599;RESSEGURADORAS;2.508.620,42;1.460.246,36;-449.166,35;1.011.080,01;3.519.700,43
30/07/2020;9;Ativo;1.1.3.4.1;100606;RESSEGURADORA - LOCAL;2.956.434,06;1.038.227,42;-423.932,04;614.295,38;3.570.729,44
30/07/2020;11;Ativo;1.1.3.4.1.4;120840;SINISTROS;2.956.434,06;1.038.227,42;-423.932,04;614.295,38;3.570.729,44
30/07/2020;13;Ativo;1.1.3.4.1.4.2;113415;SINISTROS PAGOS;2.956.434,06;1.038.227,42;-423.932,04;614.295,38;3.570.729,44
30/07/2020;9;Ativo;1.1.3.4.2;120842;RESSEGURADORA ADMITIDA;377.190,36;13.973,42;0;13.973,42;391.163,78
30/07/2020;11;Ativo;1.1.3.4.2.4;120844;SINISTROS;377.190,36;13.973,42;0;13.973,42;391.163,78
30/07/2020;13;Ativo;1.1.3.4.2.4.2;333;SINISTROS PAGOS;377.190,36;13.973,42;0;13.973,42;391.163,78
30/07/2020;9;Ativo;1.1.3.4.3;120848;RESSEGURADORA EVENTUAL;394,93;380,58;0;380,58;775,51
30/07/2020;11;Ativo;1.1.3.4.3.4;120850;SINISTROS;394,93;380,58;0;380,58;775,51
30/07/2020;13;Ativo;1.1.3.4.3.4.2;330;SINISTROS PAGOS;394,93;380,58;0;380,58;775,51
30/07/2020;9;Ativo;1.1.3.4.9;120853;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;11;Ativo;1.1.3.4.9.0;49401;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;13;Ativo;1.1.3.4.9.0.0;49416;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;15;Ativo;1.1.3.4.9.0.0.0;49421;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;17;Ativo;1.1.3.4.9.0.0.0.0;65033;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;19;Ativo;1.1.3.4.9.0.0.0.0.0;65034;REDUCAO AO VALOR RECUPERAVEL;-825.398,93;407.664,94;-25.234,31;382.430,63;-442.968,30
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0002;430;RED VLR RECUP SIN PAGOS RESSEG - IRB;-567.371,94;407.664,94;-8.774,58;398.890,36;-168.481,58
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0003;427;RED VLR RECUP SIN PAGOS RESSEG - EVEREST;-214.957,91;0;-16.204,59;-16.204,59;-231.162,50
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0004;433;RED VLR RECUP SIN PAGOS RESSEG-IRONSHORE;-31.079,28;0;-102,06;-102,06;-31.181,34
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0006;445;RED VLR RECUP SIN PAGO RESSEG - AUSTRAL;-259,67;0;0;0;-259,67
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0007;446;RED VLR RECUP SIN PAGO RESSEG - TERRA;-3.814,86;0;-51,02;-51,02;-3.865,88
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0008;447;RED VLR RECUP SIN PAGO RESSEG - ATRADIUS;-4.596,60;0;-102,06;-102,06;-4.698,66
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0009;434;RED VLR RECUP SIN PAGO RESSEG - MARKEL;-2.994,09;0;0;0;-2.994,09
30/07/2020;24;Ativo;1.1.3.4.9.0.0.0.0.0.0010;451;RED VLR RECUP SIN PAGO RESSEG - HANNOVER;-324,58;0;0;0;-324,58
30/07/2020;7;Ativo;1.1.3.8;100698;OUTROS CREDITOS OPERACIONAIS;61.801,94;3.571.495,01;-3.571.394,01;101;61.902,94
30/07/2020;9;Ativo;1.1.3.8.4;45969;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;11;Ativo;1.1.3.8.4.0;113233;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;13;Ativo;1.1.3.8.4.0.0;49436;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;15;Ativo;1.1.3.8.4.0.0.0;49476;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;17;Ativo;1.1.3.8.4.0.0.0.0;65035;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;19;Ativo;1.1.3.8.4.0.0.0.0.0;65036;CONSORCIO DPVAT;61.801,94;0;0;0;61.801,94
30/07/2020;24;Ativo;1.1.3.8.4.0.0.0.0.0.0002;113842;CONSORCIO DPVAT - RESULTADO;61.801,94;0;0;0;61.801,94
30/07/2020;9;Ativo;1.1.3.8.8;100732;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;11;Ativo;1.1.3.8.8.0;345;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;13;Ativo;1.1.3.8.8.0.0;346;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;15;Ativo;1.1.3.8.8.0.0.0;347;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;17;Ativo;1.1.3.8.8.0.0.0.0;65037;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;19;Ativo;1.1.3.8.8.0.0.0.0.0;65038;OUTROS CREDITOS;0;3.571.495,01;-3.571.394,01;101;101
30/07/2020;24;Ativo;1.1.3.8.8.0.0.0.0.0.0005;113882;CREDITO DE SINISTROS - ADMINISTRATIVOS;0;3.265.693,86;-3.265.693,86;0;0
30/07/2020;24;Ativo;1.1.3.8.8.0.0.0.0.0.0014;113883;CREDITO DE SINISTROS - JUDICIAIS;0;246.486,22;-246.486,22;0;0
30/07/2020;24;Ativo;1.1.3.8.8.0.0.0.0.0.0015;245;CT - SALVADOS;0;28.800,00;-28.800,00;0;0
30/07/2020;24;Ativo;1.1.3.8.8.0.0.0.0.0.0018;744;RESSARCIMENTO;0;30.514,93;-30.413,93;101;101
30/07/2020;5;Ativo;1.1.4;100788;TITULOS E CREDITOS A RECEBER;5.277.142,61;490.403,27;-126.283,10;364.120,17;5.641.262,78
30/07/2020;7;Ativo;1.1.4.1;100797;CREDITOS A RECEBER;3.405.665,18;29.758,28;-27.022,77;2.735,51;3.408.400,69
30/07/2020;9;Ativo;1.1.4.1.3;126339;DIVI E JUROS S/ CAPITAL PROP A REC;3.216.494,13;0;0;0;3.216.494,13
30/07/2020;9;Ativo;1.1.4.1.8;100804;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;11;Ativo;1.1.4.1.8.0;375;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;13;Ativo;1.1.4.1.8.0.0;376;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;15;Ativo;1.1.4.1.8.0.0.0;377;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;17;Ativo;1.1.4.1.8.0.0.0.0;65041;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;19;Ativo;1.1.4.1.8.0.0.0.0.0;65042;OUTROS CREDITOS A RECEBER;189.171,05;29.758,28;-27.022,77;2.735,51;191.906,56
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0001;132043;OUTROS CREDITOS A RECEBER(CORRET);336,09;102,71;0;102,71;438,8
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0004;132070;OUTROS CREDITOS A RECEBER;35.720,89;2.224,92;-1.451,92;773;36.493,89
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0042;104206;INVESTPREV SEGUROS E PREVIDENCIA (RS);38.148,45;5.569,77;-4.592,20;977,57;39.126,02
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0046;114046;IRB E OUTROS RESSEGURADORES;74.533,30;0;0;0;74.533,30
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0052;2;INVEST CAPITALIZAÇÃO S.A.;22.027,69;21.207,17;-20.544,94;662,23;22.689,92
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0055;217;JOÃO ANTONIO BATALHA - PAGTO SIN DUPLIC;29,5;0;0;0;29,5
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0059;355;RESTIT E DEVOLUCOES PAGAS EM DUPLICIDADE;2.094,52;0;0;0;2.094,52
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0060;370;SINISTROS PAGOS EM DUPLICIDADE;7.239,13;653,71;-433,71;220;7.459,13
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0061;373;HQ BR ADM BENS E SERV-CAUCAO SALVADOR/BA;598;0;0;0;598
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0062;374;A BARROS JORGE JOAO - CAUÇÃO BELEM/PA;900;0;0;0;900
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0063;380;FRANCIZALVA F BRAGA-CAUÇÃO FORTALEZA;6.600,00;0;0;0;6.600,00
30/07/2020;24;Ativo;1.1.4.1.8.0.0.0.0.0.0071;747;RUSSOWSKY, WINTER E GUAZELLI PERUCHIN -;943,48;0;0;0;943,48
30/07/2020;7;Ativo;1.1.4.2;126375;TITULOS A RECEBER;1.160.561,89;55.349,10;-30.514,93;24.834,17;1.185.396,06
30/07/2020;9;Ativo;1.1.4.2.2;126393;NOTAS PROMISSORIAS;1.160.561,89;55.349,10;-30.514,93;24.834,17;1.185.396,06
30/07/2020;7;Ativo;1.1.4.4;100850;CREDITOS TRIBUTARIOS/PREVIDENCIARIOS;546.231,01;116.941,83;0;116.941,83;663.172,84
30/07/2020;9;Ativo;1.1.4.4.1;100869;CREDITOS DE IMPOSTO DE RENDA;356.813,46;71.637,00;0;71.637,00;428.450,46
30/07/2020;11;Ativo;1.1.4.4.1.1;111777;IMPOSTO DE RENDA A COMPENSAR;196.425,62;1,74;0;1,74;196.427,36
30/07/2020;13;Ativo;1.1.4.4.1.1.0;411;IMPOSTO DE RENDA A COMPENSAR;196.425,62;1,74;0;1,74;196.427,36
30/07/2020;15;Ativo;1.1.4.4.1.1.0.0;412;IMPOSTO DE RENDA A COMPENSAR;196.425,62;1,74;0;1,74;196.427,36
30/07/2020;17;Ativo;1.1.4.4.1.1.0.0.0;65045;IMPOSTO DE RENDA A COMPENSAR;196.425,62;1,74;0;1,74;196.427,36
30/07/2020;19;Ativo;1.1.4.4.1.1.0.0.0.0;65046;IMPOSTO DE RENDA A COMPENSAR;196.425,62;1,74;0;1,74;196.427,36
30/07/2020;24;Ativo;1.1.4.4.1.1.0.0.0.0.0001;124674;IMPOSTO DE RENDA NA FONTE -PAGTO A MAIOR;550,84;0;0;0;550,84
30/07/2020;24;Ativo;1.1.4.4.1.1.0.0.0.0.0012;135;IRPJ PAGO A MAIOR;22,89;0;0;0;22,89
30/07/2020;24;Ativo;1.1.4.4.1.1.0.0.0.0.0013;192;IMPOSTO DE RENDA RETIDO NA FONTE;15.181,18;1,74;0;1,74;15.182,92
30/07/2020;24;Ativo;1.1.4.4.1.1.0.0.0.0.0018;114412;SALDO NEGATIVO IRPJ 2019;180.670,71;0;0;0;180.670,71
30/07/2020;11;Ativo;1.1.4.4.1.2;120861;ANTECIPACAO DE IMPOSTO DE RENDA;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;13;Ativo;1.1.4.4.1.2.0;122403;ANTECIPACAO DE IMPOSTO DE RENDA;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;15;Ativo;1.1.4.4.1.2.0.0;122404;ANTECIPACAO DE IMPOSTO DE RENDA;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;17;Ativo;1.1.4.4.1.2.0.0.0;65047;ANTECIPACAO DE IMPOSTO DE RENDA;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;19;Ativo;1.1.4.4.1.2.0.0.0.0;65048;ANTECIPACAO DE IMPOSTO DE RENDA;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;24;Ativo;1.1.4.4.1.2.0.0.0.0.0001;211660;ANTECIPACAO DE IRPJ;160.387,84;71.635,26;0;71.635,26;232.023,10
30/07/2020;9;Ativo;1.1.4.4.2;100878;CREDITOS DE CONTRIBUICAO SOCIAL;181.038,18;45.267,58;0;45.267,58;226.305,76
30/07/2020;11;Ativo;1.1.4.4.2.1;124700;CONTRIBUICAO SOCIAL A COMPENSAR;86.459,59;0;0;0;86.459,59
30/07/2020;13;Ativo;1.1.4.4.2.1.0;431;CONTRIBUICAO SOCIAL A COMPENSAR;86.459,59;0;0;0;86.459,59
30/07/2020;15;Ativo;1.1.4.4.2.1.0.0;432;CONTRIBUICAO SOCIAL A COMPENSAR;86.459,59;0;0;0;86.459,59
30/07/2020;17;Ativo;1.1.4.4.2.1.0.0.0;65053;CONTRIBUICAO SOCIAL A COMPENSAR;86.459,59;0;0;0;86.459,59
30/07/2020;19;Ativo;1.1.4.4.2.1.0.0.0.0;65054;CONTRIBUICAO SOCIAL A COMPENSAR;86.459,59;0;0;0;86.459,59
30/07/2020;24;Ativo;1.1.4.4.2.1.0.0.0.0.0009;136;CSLL PAGO A MAIOR;4,2;0;0;0;4,2
30/07/2020;24;Ativo;1.1.4.4.2.1.0.0.0.0.0013;114409;SALDO NEGATIVO CSLL 2019;86.455,39;0;0;0;86.455,39
30/07/2020;11;Ativo;1.1.4.4.2.2;120862;ANTECIPACAO DE CONTRIBUICAO SOCIAL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;13;Ativo;1.1.4.4.2.2.0;122405;ANTECIPACAO DE CONTRIBUICAO SOCIAL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;15;Ativo;1.1.4.4.2.2.0.0;122406;ANTECIPACAO DE CONTRIBUICAO SOCIAL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;17;Ativo;1.1.4.4.2.2.0.0.0;65055;ANTECIPACAO DE CONTRIBUICAO SOCIAL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;19;Ativo;1.1.4.4.2.2.0.0.0.0;65056;ANTECIPACAO DE CONTRIBUICAO SOCIAL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;24;Ativo;1.1.4.4.2.2.0.0.0.0.0001;211670;ANTECIPACAO DE CSLL;94.578,59;45.267,58;0;45.267,58;139.846,17
30/07/2020;9;Ativo;1.1.4.4.5;132080;CREDITOS DE COFINS E PIS;145,51;37,25;0;37,25;182,76
30/07/2020;11;Ativo;1.1.4.4.5.1;132099;COFINS A COMPENSAR;122,74;0;0;0;122,74
30/07/2020;13;Ativo;1.1.4.4.5.1.0;449;COFINS A COMPENSAR;122,74;0;0;0;122,74
30/07/2020;15;Ativo;1.1.4.4.5.1.0.0;450;COFINS A COMPENSAR;122,74;0;0;0;122,74
30/07/2020;17;Ativo;1.1.4.4.5.1.0.0.0;65057;COFINS A COMPENSAR;122,74;0;0;0;122,74
30/07/2020;19;Ativo;1.1.4.4.5.1.0.0.0.0;65058;COFINS A COMPENSAR;122,74;0;0;0;122,74
30/07/2020;24;Ativo;1.1.4.4.5.1.0.0.0.0.0001;132124;COFINS COMPENSAVEL;122,74;0;0;0;122,74
30/07/2020;11;Ativo;1.1.4.4.5.3;126591;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;13;Ativo;1.1.4.4.5.3.0;453;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;15;Ativo;1.1.4.4.5.3.0.0;454;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;17;Ativo;1.1.4.4.5.3.0.0.0;65059;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;19;Ativo;1.1.4.4.5.3.0.0.0.0;65060;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;24;Ativo;1.1.4.4.5.3.0.0.0.0.0002;135121;PIS A COMPENSAR;22,77;37,25;0;37,25;60,02
30/07/2020;9;Ativo;1.1.4.4.8;135096;OUTROS CRED TRIBUT E PREVIDENCIARIOS;8.233,86;0;0;0;8.233,86
30/07/2020;11;Ativo;1.1.4.4.8.0;458;OUTROS CRED TRIBUT E PREVIDENCIARIOS;8.233,86;0;0;0;8.233,86
